logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;somatorio_comodos;area_comodo;preco_area;Zona
Avenida Amintas Barros, 3735;Lagoa Nova; Natal; 000000800; 000114; 0003; 003; 04; 000000000002; 000000500000;10;11;4385;Zona Sul  
Rua Francisco Simplício, 145;Ponta Negra; Natal; 000000480; 000094; 0003; 001; 02; 000000000002; 000000318000;6;15;3382;Zona Sul  
Rua Jurandyr Sitáro da Costa, 175;Neópolis; Natal; 000000850; 000542; 0004; 003; 05; 000000000004; 000001000000;12;45;1845;Zona Sul  
Rua Jaguarari, 3736;Candelária; Natal; 000001400; 000622; 0004; 004; 08; 000000000004; 000003200000;16;38;5144;Zona Sul  
Rua José Alberi Matos Ferreira;Lagoa Nova; Natal; 000000750; 000142; 0004; 003; 05; 000000000003; 000000999000;12;11;7035;Zona Sul  
Avenida Lima e Silva, 2393;Lagoa Nova; Natal; 000000700; 000128; 0003; 002; 04; 000000000002; 000000680000;9;14;5312;Zona Sul  
Rua Henri Koster, 1035;Tirol; Natal; 000001050; 000150; 0004; 002; 05; 000000000003; 000000980000;11;13;6533;Zona Leste
Rua Capitão Abdon Nunes, 1125;Tirol; Natal; 000001000; 000165; 0004; 004; 03; 000000000003; 000001399000;11;15;8478;Zona Leste
Rua Doutor Pedro Segundo de Araújo, 1460;Capim Macio; Natal; 000000578; 000109; 0003; 002; 04; 000000000002; 000000580000;9;12;5321;Zona Sul  
Rua Jundiaí, 512;Tirol; Natal; 000000850; 000200; 0003; 003; 05; 000000000002; 000000725000;11;18;3625;Zona Leste
Rua Ângelo Varela, 1130;Tirol; Natal; 000001400; 000270; 0004; 004; 06; 000000000004; 000001345000;14;19;4981;Zona Leste
Rua Meira Brandão, 646;Barro Vermelho; Natal; 000000950; 000142; 0003; 003; 05; 000000000002; 000000790000;11;12;5563;Zona Leste
Rua José Alberi Matos Ferreira;Lagoa Nova; Natal; 000000750; 000142; 0004; 003; 05; 000000000003; 000000999000;12;11;7035;Zona Sul  
Rua Demócrito de Souza Paiva, 818;Lagoa Nova; Natal; 000000420; 000066; 0003; 001; 02; 000000000001; 000000265000;6;11;4015;Zona Sul  
Rua Brisa do Mar, 21;Ponta Negra; Natal; 000000350; 000056; 0002; 001; 01; 000000000001; 000000170000;4;14;3035;Zona Sul  
Avenida Deputado Antônio Florêncio de Queiroz, 3365;Ponta Negra; Natal; 000000580; 000101; 0003; 001; 04; 000000000002; 000000550000;8;12;5445;Zona Sul  
Avenida Engenheiro Roberto Freire, 4702;Ponta Negra; Natal; 000000420; 000055; 0002; 001; 01; 000000000001; 000000389900;4;13;7089;Zona Sul  
Rua Ismael Pereira da Silva;Capim Macio; Natal; 000000500; 000056; 0002; 001; 02; 000000000001; 000000235000;5;11;4196;Zona Sul  
Rua Lúcia Viveiros, 649;Neópolis; Natal; 000000600; 000207; 0005; 001; 05; 000000000003; 000000750000;11;18;3623;Zona Sul  
Rua Pinto Martins, 1000;Areia Preta; Natal; 000001500; 000280; 0005; 004; 06; 000000000002; 000000700000;15;18;2500;Zona Leste
Rua Cláudio Machado, 541;Petrópolis; Natal; 000001800; 000230; 0003; 003; 05; 000000000003; 000000750000;11;20;3260;Zona Leste
Avenida Capitão-Mor Gouveia, 2488;Cidade da Esperança; Natal; 000000470; 000161; 0003; 001; 03; 000000000003; 000000420000;7;23;2608;Zona Oeste
Avenida Governador Sílvio Pedroza, 304;Areia Preta; Natal; 000001400; 000225; 0004; 004; 06; 000000000003; 000001400000;14;16;6222;Zona Leste
Rua Aníbal Correia, 300;Candelária; Natal; 000000800; 000109; 0003; 002; 04; 000000000002; 000000485000;9;12;4449;Zona Sul  
Rua Miguel Godeiro Primo, 100;Ponta Negra; Natal; 000000650; 000042; 0001; 001; 01; 000000000001; 000000220000;3;14;5238;Zona Sul  
Rua Jatuarana, 23;Ponta Negra; Natal; 000000300; 000048; 0001; 001; 01; 000000000001; 000000179000;3;16;3729;Zona Sul  
Rua Afonso Magalhães, 498;Ponta Negra; Natal; 000000850; 000048; 0002; 001; 02; 000000000001; 000000350000;5;9;7291;Zona Sul  
Avenida Engenheiro Roberto Freire, 4220;Ponta Negra; Natal; 000000650; 000030; 0001; 001; 01; 000000000001; 000000150000;3;10;5000;Zona Sul  
Rua Aníbal Correia, 300;Candelária; Natal; 000000800; 000109; 0003; 002; 04; 000000000002; 000000485000;9;12;4449;Zona Sul  
Avenida Capitão-Mor Gouveia, 2488;Lagoa Nova; Natal; 000000470; 000161; 0003; 001; 03; 000000000003; 000000399000;7;23;2478;Zona Sul  
Rua Orlando de Lima, 602;Ponta Negra; Natal; 000000260; 000058; 0002; 001; 02; 000000000001; 000000169900;5;11;2929;Zona Sul  
Avenida Nascimento de Castro, 1795;Lagoa Nova; Natal; 000000800; 000098; 0003; 001; 02; 000000000002; 000000420000;6;16;4285;Zona Sul  
Avenida Nascimento de Castro;Lagoa Nova; Natal; 000000800; 000091; 0002; 002; 03; 000000000001; 000000210000;7;13;2307;Zona Sul  
Rua Mossoró, 500;Tirol; Natal; 000000450; 000094; 0003; 001; 03; 000000000002; 000000590000;7;13;6276;Zona Leste
Avenida Governador Sílvio Pedroza, 200;Areia Preta; Natal; 000000600; 000089; 0002; 001; 03; 000000000001; 000000285000;6;14;3202;Zona Leste
Avenida Governador Sílvio Pedroza, 304;Areia Preta; Natal; 000001400; 000225; 0004; 004; 06; 000000000003; 000001400000;14;16;6222;Zona Leste
Rua Estudante José Francisco de Souza Filho, 345;Capim Macio; Natal; 000000480; 000077; 0003; 001; 02; 000000000002; 000000450000;6;12;5844;Zona Sul  
Avenida Nilo Peçanha, 289;Petrópolis; Natal; 000001100; 000285; 0005; 004; 06; 000000000003; 000000850000;15;19;2982;Zona Leste
Avenida Governador Sílvio Pedroza, 200;Areia Preta; Natal; 000000600; 000089; 0002; 001; 03; 000000000001; 000000285000;6;14;3202;Zona Leste
Rua Estudante José Francisco de Souza Filho, 345;Capim Macio; Natal; 000000480; 000077; 0003; 001; 02; 000000000002; 000000450000;6;12;5844;Zona Sul  
Rua Gunnar Vingren, 1932;Capim Macio; Natal; 000000450; 000056; 0002; 001; 01; 000000000002; 000000220000;4;14;3928;Zona Sul  
Rua Desembargador José Gomes da Costa, 1890;Capim Macio; Natal; 000000880; 000098; 0003; 001; 03; 000000000002; 000000365000;7;14;3724;Zona Sul  
Rua dos Tororós, 420;Alecrim; Natal; 000000500; 000090; 0003; 001; 03; 000000000002; 000000290000;7;12;3222;Zona Leste
Avenida Bernardo Vieira;Alecrim; Natal; 000000500; 000091; 0003; 001; 02; 000000000002; 000000370000;6;15;4065;Zona Leste
Rua da Lagosta, 482;Ponta Negra; Natal; 000001400; 000285; 0004; 004; 05; 000000000004; 000000850000;13;21;2982;Zona Sul  
Rua Santo Onofre, 600;Planalto; Natal; 000000280; 000056; 0002; 001; 02; 000000000001; 000000090000;5;11;1607;Zona Sul  
Rua Anísio de Souza, 2556;Candelária; Natal; 000000480; 000087; 0003; 001; 03; 000000000002; 000000390000;7;12;4482;Zona Sul  
Avenida Amintas Barros;Lagoa Nova; Natal; 000000800; 000145; 0004; 003; 05; 000000000002; 000000750000;12;12;5172;Zona Sul  
Rua Engenheiro João Hélio Alves Rocha;Planalto; Natal; 000000170; 000062; 0002; 001; 02; 000000000001; 000000155000;5;12;2500;Zona Sul  
Rua Anísio de Souza, 2556;Candelária; Natal; 000000480; 000087; 0003; 001; 03; 000000000002; 000000390000;7;12;4482;Zona Sul  
Rua Barão de Lucena, 62;Pitimbu; Natal; 000000230; 000056; 0002; 001; 02; 000000000001; 000000220000;5;11;3928;Zona Sul  
Rua Pedro Fonseca Filho;Ponta Negra; Natal; 000000550; 000055; 0002; 001; 02; 000000000001; 000000280000;5;11;5090;Zona Sul  
Rua Ismael Pereira da Silva, 1515;Capim Macio; Natal; 000001150; 000196; 0004; 004; 04; 000000000004; 000001500000;12;16;7653;Zona Sul  
Rua dos Tororós;Lagoa Nova; Natal; 000000800; 000136; 0003; 003; 04; 000000000003; 000000850000;10;13;6250;Zona Sul  
Rua Ministro Mirabeau da Cunha Melo, 1990;Candelária; Natal; 000000500; 000060; 0002; 001; 02; 000000000001; 000000250000;5;12;4166;Zona Sul  
Rua Escritor Jaime Adour Câmara, 1655;Capim Macio; Natal; 000000500; 000057; 0002; 001; 02; 000000000001; 000000230000;5;11;4035;Zona Sul  
Rua Doutor Manoel Augusto Bezerra de Araújo, 570;Ponta Negra; Natal; 000000500; 000058; 0002; 001; 02; 000000000001; 000000300000;5;11;5172;Zona Sul  
Rua Raimundo Chaves, 1652;Candelária; Natal; 000000600; 000372; 0004; 003; 05; 000000000004; 000001700000;12;31;4569;Zona Sul  
Rua Raimundo de Medeiros Dantas, S/N;Neópolis; Natal; 000000150; 000085; 0003; 001; 02; 000000000001; 000000190000;6;14;2235;Zona Sul  
Rua Potengi, 521;Petrópolis; Natal; 000000564; 000056; 0001; 001; 01; 000000000001; 000000160000;3;18;2857;Zona Leste
Rua Desembargador José Gomes da Costa, 1887;Capim Macio; Natal; 000000490; 000072; 0003; 001; 02; 000000000002; 000000180000;6;12;2500;Zona Sul  
Passagem Doutor Carlos Passos, 1610;Tirol; Natal; 000001100; 000150; 0003; 001; 03; 000000000002; 000000450000;7;21;3000;Zona Leste
Rua Doutor Paulo Pinto de Abreu, 454;Lagoa Nova; Natal; 000000750; 000120; 0003; 002; 04; 000000000003; 000000720000;9;13;6000;Zona Sul  
Rua Miguel Godeiro Primo, 100;Ponta Negra; Natal; 000000560; 000055; 0002; 001; 01; 000000000001; 000000360000;4;13;6545;Zona Sul  
Avenida Rui Barbosa, 1000;Lagoa Nova; Natal; 000000800; 000145; 0003; 003; 05; 000000000003; 000000820000;11;13;5655;Zona Sul  
Avenida Afonso Pena;Tirol; Natal; 000000500; 000064; 0002; 001; 02; 000000000001; 000000360000;5;12;5625;Zona Leste
Rua Alexandre Câmara, 1931;Capim Macio; Natal; 000000250; 000052; 0002; 001; 02; 000000000001; 000000230000;5;10;4423;Zona Sul  
Avenida das Alagoas, 300;Neópolis; Natal; 000000600; 000075; 0003; 001; 02; 000000000002; 000000300000;6;12;4000;Zona Sul  
Rua Doutor Múcio Villar Ribeiro Dantas;Ponta Negra; Natal; 000000860; 000270; 0004; 004; 05; 000000000003; 000001600000;13;20;5925;Zona Sul  
Rua Lúcia Viveiros;Neópolis; Natal; 000000867; 000240; 0003; 001; 04; 000000000003; 000000850000;8;30;3541;Zona Sul  
Rua Aníbal Correia;Candelária; Natal; 000000850; 000109; 0004; 003; 05; 000000000002; 000000470000;12;9;4311;Zona Sul  
Avenida Doutor João Medeiros Filho, 27;Redinha; Natal; 000000240; 000054; 0002; 001; 02; 000000000002; 000000139900;5;10;2590;Zona Norte
Rua Carapeba;Ponta Negra; Natal; 000000400; 000060; 0002; 001; 02; 000000000001; 000000226000;5;12;3766;Zona Sul  
Rua Carapeba;Ponta Negra; Natal; 000000800; 000101; 0003; 003; 04; 000000000002; 000000418000;10;10;4138;Zona Sul  
Rua Marize Bastier;Lagoa Nova; Natal; 000000800; 000119; 0002; 001; 02; 000000000001; 000000641000;5;23;5386;Zona Sul  
Rua Acari;Lagoa Nova; Natal; 000000550; 000100; 0001; 002; 03; 000000000002; 000000440000;6;16;4400;Zona Sul  
Rua Desembargador Hemetério Fernandes, 1055;Tirol; Natal; 000002000; 000300; 0004; 004; 06; 000000000004; 000000900000;14;21;3000;Zona Leste
Avenida dos Caiapós, 2885;Pitimbu; Natal; 000000500; 000240; 0005; 003; 04; 000000000003; 000000699000;12;20;2912;Zona Sul  
Rua Praia do Rio Doce, 2174;Ponta Negra; Natal; 000000450; 000075; 0002; 002; 03; 000000000001; 000000390000;7;10;5200;Zona Sul  
Rua Poeta Jorge Fernandes, 2205;Ponta Negra; Natal; 000000518; 000064; 0002; 001; 02; 000000000001; 000000249000;5;12;3890;Zona Sul  
Rua Mipibu, 757;Petrópolis; Natal; 000001100; 000175; 0004; 003; 05; 000000000002; 000000545000;12;14;3114;Zona Leste
Rua Coronel Joaquim Manoel, 635;Petrópolis; Natal; 000000750; 000125; 0003; 001; 03; 000000000001; 000000490000;7;17;3920;Zona Leste
Rua Epitácio Andrade, 1350;Barro Vermelho; Natal; 000000630; 000098; 0003; 001; 02; 000000000002; 000000296000;6;16;3020;Zona Leste
Rua Professora Gipse Montenegro, 246;Capim Macio; Natal; 000000320; 000077; 0003; 001; 03; 000000000001; 000000480000;7;11;6233;Zona Sul  
Rua Antônio Farache, 1982;Capim Macio; Natal; 000000950; 000098; 0003; 002; 03; 000000000002; 000000450000;8;12;4591;Zona Sul  
Rua Romualdo Galvão, 1770;Lagoa Nova; Natal; 000001200; 000372; 0004; 003; 05; 000000000004; 000001650000;12;31;4435;Zona Sul  
Avenida Senador Salgado Filho;PARNAMIRIM; Natal; 000000400; 000058; 0002; 001; 02; 000000000001; 000000175000;5;11;3017;Vazio     
Rua Doutor Renato Dantas;Petrópolis; Natal; 000000450; 000228; 0003; 001; 02; 000000000002; 000000670000;6;38;2938;Zona Leste
Rua Romualdo Galvão;Lagoa Nova; Natal; 000001200; 000568; 0004; 003; 05; 000000000004; 000001680000;12;47;2957;Zona Sul  
Rua Antídio de Azevedo, 1905;Lagoa Nova; Natal; 000000800; 000136; 0003; 003; 04; 000000000003; 000000850000;10;13;6250;Zona Sul  
Rua Romualdo Galvão;Lagoa Nova; Natal; 000001200; 000568; 0004; 003; 05; 000000000004; 000002100000;12;47;3697;Zona Sul  
Rua Romualdo Galvão, 695;Tirol; Natal; 000001000; 000100; 0003; 001; 02; 000000000002; 000000280000;6;16;2800;Zona Leste
Avenida Amintas Barros;Lagoa Nova; Natal; 000000800; 000146; 0004; 003; 05; 000000000002; 000000750000;12;12;5136;Zona Sul  
Rua Neuza Farache, 1971;Capim Macio; Natal; 000000850; 000154; 0004; 003; 03; 000000000002; 000000625600;10;15;4062;Zona Sul  
Rua Mipibu, 757;Petrópolis; Natal; 000001100; 000175; 0004; 003; 05; 000000000002; 000000545000;12;14;3114;Zona Leste
Rua Trairi, 798;Petrópolis; Natal; 000000500; 000098; 0003; 001; 03; 000000000002; 000000540000;7;14;5510;Zona Leste
Rua Anísio de Souza, 2556;Candelária; Natal; 000000478; 000087; 0003; 001; 02; 000000000002; 000000390000;6;14;4482;Zona Sul  
Rua Edson Teixeira da Silva;Ponta Negra; Natal; 000000238; 000054; 0002; 001; 02; 000000000001; 000000200000;5;10;3703;Zona Sul  
Rua Antídio de Azevedo, 1939;Lagoa Nova; Natal; 000001249; 000287; 0004; 004; 05; 000000000004; 000001575000;13;22;5487;Zona Sul  
Avenida Governador Silvio Pedroza, 1699;Areia Preta; Natal; 000001811; 000280; 0004; 004; 05; 000000000004; 000001760250;13;21;6286;Zona Leste
Rua Santo Onofre;Planalto; Natal; 000000280; 000056; 0002; 001; 02; 000000000001; 000000090000;5;11;1607;Zona Sul  
Rua Alberto Silva, 1375;Tirol; Natal; 000000500; 000085; 0003; 001; 03; 000000000002; 000000300000;7;12;3529;Zona Leste
Rua Professora Francisca Ivone Cavalcanti;Ponta Negra; Natal; 000000670; 000101; 0003; 001; 02; 000000000002; 000000500000;6;16;4950;Zona Sul  
Rua Major Laurentino de Morais, 1222;Tirol; Natal; 000001500; 000196; 0004; 002; 05; 000000000002; 000000350000;11;17;1785;Zona Leste
Rua Pinto Martins;Areia Preta; Natal; 000001500; 000220; 0004; 004; 05; 000000000003; 000000600000;13;16;2727;Zona Leste
Rua Florença, 194;Neópolis; Natal; 000000400; 000060; 0002; 001; 02; 000000000001; 000000190000;5;12;3166;Zona Sul  
Rua Adolfo Gordo, 1035;Cidade da Esperança; Natal; 000000369; 000051; 0002; 001; 02; 000000000001; 000000200000;5;10;3921;Zona Oeste
Rua Ismael Pereira da Silva, 1540;Capim Macio; Natal; 000000520; 000100; 0003; 001; 03; 000000000002; 000000524000;7;14;5240;Zona Sul  
Rua Neuza Farache, 1875;Capim Macio; Natal; 000000480; 000057; 0002; 001; 02; 000000000002; 000000315000;5;11;5526;Zona Sul  
Rua Cláudio Machado, 550-A;Petrópolis; Natal; 000000001; 000052; 0002; 001; 02; 000000000001; 000000255000;5;10;4903;Zona Leste
Rua Pastor Jerônimo Gueiros, 1298;Tirol; Natal; 000000300; 000140; 0003; 001; 03; 000000000002; 000000250000;7;20;1785;Zona Leste
Rua Neuza Farache, 1875;Capim Macio; Natal; 000000480; 000057; 0002; 001; 02; 000000000002; 000000315000;5;11;5526;Zona Sul  
Rua Missionário Gunnar Vingren, 990;Capim Macio; Natal; 000000300; 000148; 0003; 002; 03; 000000000002; 000000380000;8;18;2567;Zona Sul  
Rua Doutor Múcio Villar Ribeiro Dantas;Ponta Negra; Natal; 000000900; 000300; 0004; 004; 06; 000000000004; 000001700000;14;21;5666;Zona Sul  
Rua Neuza Farache, 1971;Capim Macio; Natal; 000000350; 000157; 0003; 001; 02; 000000000001; 000000460000;6;26;2929;Zona Sul  
Avenida Almirante Alexandrino de Alencar, 1320;Tirol; Natal; 000000500; 000098; 0003; 001; 03; 000000000002; 000000550000;7;14;5612;Zona Leste
Rua Epitácio Andrade, 1320;Barro Vermelho; Natal; 000000430; 000097; 0003; 001; 03; 000000000001; 000000130000;7;13;1340;Zona Leste
Rua Nossa Senhora de Lourdes;Tirol; Natal; 000000700; 000116; 0002; 002; 03; 000000000002; 000000649000;7;16;5594;Zona Leste
Avenida Rio Branco;Ribeira; Natal; 000000900; 000246; 0004; 003; 05; 000000000002; 000000650000;12;20;2642;Zona Leste
Rua Joaquim Eduardo de Farias, 209;Ponta Negra; Natal; 000000258; 000058; 0002; 001; 02; 000000000001; 000000170000;5;11;2931;Zona Sul  
Rua Pinto Martins, 1000;Areia Preta; Natal; 000001500; 000280; 0004; 004; 06; 000000000002; 000000700000;14;20;2500;Zona Leste
Rua Almirante Nelson Fernandes, 768;Barro Vermelho; Natal; 000001300; 000190; 0004; 004; 06; 000000000002; 000000750000;14;13;3947;Zona Leste
Avenida Deputado Antônio Florêncio de Queiroz;Ponta Negra; Natal; 000000900; 000300; 0004; 004; 06; 000000000004; 000001700000;14;21;5666;Zona Sul  
Avenida Porto de Pedras;Neópolis; Natal; 000000300; 000057; 0002; 001; 02; 000000000001; 000000195000;5;11;3421;Zona Sul  
Rua Doutor João Chaves;Tirol; Natal; 000000650; 000090; 0003; 001; 03; 000000000002; 000000530000;7;12;5888;Zona Leste
Rua Monsenhor José Paulino;Tirol; Natal; 000000750; 000103; 0003; 002; 04; 000000000002; 000000450000;9;11;4368;Zona Leste
Rua Eletricista Elias Ferreira, 2600;Candelária; Natal; 000000550; 000075; 0002; 001; 02; 000000000002; 000000280000;5;15;3733;Zona Sul  
Rua Aguinaldo Gurgel Júnior, 2061;Candelária; Natal; 000001500; 000370; 0004; 004; 06; 000000000002; 000001150000;14;26;3108;Zona Sul  
Rua Souza Machado, 1012;Tirol; Natal; 000001000; 000136; 0003; 003; 05; 000000000003; 000000669900;11;12;4925;Zona Leste
Rua Desembargador Silvério Soares, 966;Tirol; Natal; 000001100; 000160; 0003; 002; 02; 000000000002; 000000490000;7;22;3062;Zona Leste
Rua Tenente Olavo Francisco dos Santos, 100;Ponta Negra; Natal; 000000450; 000120; 0003; 002; 04; 000000000002; 000000670000;9;13;5583;Zona Sul  
Rua Ana Néri, 351;Petrópolis; Natal; 000000800; 000120; 0003; 003; 05; 000000000003; 000000690000;11;10;5750;Zona Leste
Rua Beatriz Pinheiro, 1319;Barro Vermelho; Natal; 000001138; 000179; 0004; 003; 05; 000000000003; 000000789000;12;14;4407;Zona Leste
Rua Maxaranguape, 680;Tirol; Natal; 000001200; 000180; 0003; 001; 04; 000000000002; 000000690000;8;22;3833;Zona Leste
Rua Monsenhor Severiano, 547;Petrópolis; Natal; 000001300; 000104; 0003; 001; 03; 000000000002; 000000399000;7;14;3836;Zona Leste
Rua Souza Machado, 1012;Tirol; Natal; 000001000; 000136; 0003; 003; 05; 000000000003; 000000669900;11;12;4925;Zona Leste
Rua Souza Machado;Tirol; Natal; 000000600; 000136; 0003; 003; 04; 000000000002; 000000619000;10;13;4551;Zona Leste
Rua Doutor Rômulo Jorge;Lagoa Nova; Natal; 000000900; 000138; 0003; 002; 04; 000000000002; 000000780000;9;15;5652;Zona Sul  
Avenida Governador Sílvio Pedroza;Areia Preta; Natal; 000001500; 000282; 0004; 004; 05; 000000000004; 000002200000;13;21;7801;Zona Leste
Rua Desembargador Felipe Guerra, 2230;Barro Vermelho; Natal; 000001600; 000240; 0004; 004; 05; 000000000003; 000000800000;13;18;3333;Zona Leste
Avenida Nilo Peçanha;Petrópolis; Natal; 000001000; 000130; 0003; 001; 02; 000000000002; 000000350000;6;21;2692;Zona Leste
Rua dos Potiguares, 365;Lagoa Nova; Natal; 000000700; 000123; 0003; 003; 05; 000000000002; 000000450000;11;11;3658;Zona Sul  
Rua Ana Néri, 351;Petrópolis; Natal; 000000700; 000120; 0003; 003; 05; 000000000003; 000000690000;11;10;5750;Zona Leste
Rua Morais Navarro;Lagoa Nova; Natal; 000000600; 000119; 0004; 002; 04; 000000000002; 000000650000;10;11;5462;Zona Sul  
Rua General Gustavo Cordeiro de Faria, 434;Petrópolis; Natal; 000000800; 000150; 0004; 002; 04; 000000000003; 000000700000;10;15;4666;Zona Leste
Avenida Deputado Antônio Florêncio de Queiroz, 3365;Ponta Negra; Natal; 000000500; 000079; 0003; 001; 02; 000000000002; 000000585000;6;13;7405;Zona Sul  
Rua Capitão Abdon Nunes;Tirol; Natal; 000000700; 000116; 0003; 003; 04; 000000000002; 000000650000;10;11;5603;Zona Leste
Rua General Gustavo Cordeiro de Faria;Petrópolis; Natal; 000001100; 000150; 0004; 002; 04; 000000000003; 000000700000;10;15;4666;Zona Leste
Rua Morais Navarro;Lagoa Nova; Natal; 000000600; 000119; 0004; 002; 04; 000000000002; 000000650000;10;11;5462;Zona Sul  
Rua dos Potiguares, 365;Lagoa Nova; Natal; 000000700; 000123; 0003; 003; 05; 000000000002; 000000450000;11;11;3658;Zona Sul  
Rua Ana Néri, 351;Petrópolis; Natal; 000000700; 000120; 0003; 003; 05; 000000000003; 000000690000;11;10;5750;Zona Leste
Rua Professora Dirce Coutinho, 1895;Capim Macio; Natal; 000000800; 000126; 0003; 001; 03; 000000000002; 000000300000;7;18;2380;Zona Sul  
Rua Adolfo Gordo, 1035;Cidade da Esperança; Natal; 000000369; 000051; 0002; 001; 02; 000000000001; 000000200000;5;10;3921;Zona Oeste
Rua Doutor Carlos Passos, 1746;Tirol; Natal; 000000515; 000057; 0002; 001; 02; 000000000001; 000000240000;5;11;4210;Zona Leste
Avenida Bernardo Vieira, 4355;Tirol; Natal; 000001700; 000172; 0003; 003; 05; 000000000003; 000000750000;11;15;4360;Zona Leste
Rua Mipibu, 741;Petrópolis; Natal; 000000520; 000103; 0003; 001; 01; 000000000002; 000000455000;5;20;4417;Zona Leste
Rua Guilherme Tinoco, 1265;Barro Vermelho; Natal; 000000642; 000090; 0003; 001; 02; 000000000002; 000000460000;6;15;5111;Zona Leste
Avenida Governador Sílvio Pedroza;Areia Preta; Natal; 000001500; 000282; 0004; 004; 05; 000000000004; 000002700000;13;21;9574;Zona Leste
Rua Júlio Gomes Moreira, 5;Barro Vermelho; Natal; 000000550; 000064; 0002; 001; 02; 000000000001; 000000220000;5;12;3437;Zona Leste
Rua Aguinaldo Gurgel Júnior, 2061;Candelária; Natal; 000001500; 000370; 0004; 004; 06; 000000000003; 000001150000;14;26;3108;Zona Sul  
Rua Paracati, 545;Planalto; Natal; 000000260; 000062; 0002; 001; 02; 000000000001; 000000146000;5;12;2354;Zona Sul  
Avenida Governador Sílvio Pedroza, 150;Areia Preta; Natal; 000001050; 000164; 0003; 003; 05; 000000000002; 000000970000;11;14;5914;Zona Leste
Rua Doutor Múcio Villar Ribeiro Dantas, 500;Ponta Negra; Natal; 000001000; 000360; 0004; 004; 06; 000000000004; 000001700000;14;25;4722;Zona Sul  
Avenida Governador Juvenal Lamartine, 800;Tirol; Natal; 000000728; 000098; 0003; 001; 03; 000000000001; 000000510000;7;14;5204;Zona Leste
Rua Anísio de Souza, 2556;Candelária; Natal; 000000440; 000087; 0003; 001; 03; 000000000002; 000000390000;7;12;4482;Zona Sul  
Rua Morais Navarro, 55;Lagoa Nova; Natal; 000000500; 000119; 0003; 003; 05; 000000000002; 000000650000;11;10;5462;Zona Sul  
Rua Trairi;Petrópolis; Natal; 000000550; 000100; 0003; 001; 02; 000000000002; 000000550000;6;16;5500;Zona Leste
Rua Ana Néri;Petrópolis; Natal; 000000750; 000120; 0003; 001; 03; 000000000002; 000000690000;7;17;5750;Zona Leste
Rua Epitácio Andrade;Barro Vermelho; Natal; 000000750; 000193; 0004; 003; 04; 000000000002; 000000750000;11;17;3886;Zona Leste
Rua Antônio Farache;Capim Macio; Natal; 000001000; 000158; 0003; 003; 05; 000000000003; 000000890000;11;14;5632;Zona Sul  
Rua Apodi, 822;Tirol; Natal; 000001300; 000200; 0003; 002; 03; 000000000002; 000000370000;8;25;1850;Zona Leste
Rua dos Potiguares;Lagoa Nova; Natal; 000000750; 000123; 0003; 003; 05; 000000000002; 000000440000;11;11;3577;Zona Sul  
Avenida Marechal Floriano Peixoto, 366;Tirol; Natal; 000002200; 000400; 0004; 004; 05; 000000000004; 000002600000;13;30;6500;Zona Leste
Avenida Nilo Peçanha, 300;Petrópolis; Natal; 000001910; 000320; 0004; 004; 04; 000000000002; 000001200000;12;26;3750;Zona Leste
Avenida Marechal Floriano Peixoto, 354;Tirol; Natal; 000002200; 000400; 0005; 005; 01; 000000000004; 000002200000;11;36;5500;Zona Leste
Rua Aguinaldo Gurgel Júnior;Candelária; Natal; 000001300; 000842; 0004; 004; 06; 000000000004; 000001150000;14;60;1365;Zona Sul  
Rua Nélio Tavares, 2000;Morro Branco; Natal; 000000790; 000080; 0003; 001; 02; 000000000002; 000000295000;6;13;3687;Vazio     
Avenida dos Caiapós, 2885;Pitimbu; Natal; 000000500; 000255; 0005; 004; 06; 000000000002; 000000820000;15;17;3215;Zona Sul  
Rua Romualdo Galvão;Lagoa Nova; Natal; 000001100; 000130; 0003; 002; 03; 000000000002; 000000670000;8;16;5153;Zona Sul  
Rua Doutor Rômulo Jorge;Lagoa Nova; Natal; 000000480; 000117; 0003; 002; 04; 000000000002; 000000680000;9;13;5811;Zona Sul  
Avenida Amintas Barros, 3678;Nova Descoberta; Natal; 000001400; 000200; 0003; 002; 04; 000000000003; 000000749000;9;22;3745;Zona Sul  
Rua Beatriz Pinheiro, 1360;Barro Vermelho; Natal; 000000530; 000056; 0002; 001; 01; 000000000001; 000000245000;4;14;4375;Zona Leste
Rua Brisa do Mar;Ponta Negra; Natal; 000000490; 000056; 0002; 001; 02; 000000000001; 000000210000;5;11;3750;Zona Sul  
Rua Nélio Tavares, 2000;Nova Descoberta; Natal; 000000790; 000080; 0003; 001; 02; 000000000002; 000000295000;6;13;3687;Zona Sul  
Avenida Governador Sílvio Pedroza, 246;Areia Preta; Natal; 000002200; 000282; 0004; 004; 06; 000000000004; 000002700000;14;20;9574;Zona Leste
Rua Desembargador Hemetério Fernandes, 1162;Tirol; Natal; 000000700; 000112; 0003; 002; 04; 000000000002; 000000700000;9;12;6250;Zona Leste
Rua Paulo Lira, 2183;Candelária; Natal; 000001500; 000235; 0004; 003; 05; 000000000003; 000000849000;12;19;3612;Zona Sul  
Avenida Nilo Peçanha, 301;Petrópolis; Natal; 000001000; 000170; 0003; 003; 05; 000000000002; 000000530000;11;15;3117;Zona Leste
Avenida Governador Sílvio Pedroza, 246;Areia Preta; Natal; 000002200; 000282; 0004; 004; 06; 000000000004; 000002700000;14;20;9574;Zona Leste
