logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;somatorio_comodos;area_comodo;preco_area;Zona
;Ponta Negra; Natal; 000000334; 000056; 0002; 001; 01; 000000000001; 000000170000;4;14;3035;Zona Sul  
;Ponta Negra; Natal; 000000350; 000034; 0001; 001; 01; 000000000001; 000000208000;3;11;6117;Zona Sul  
;Capim Macio; Natal; 000002000; 000240; 0004; 001; 01; 000000000002; 000000550000;6;40;2291;Zona Sul  
;Lagoa Nova; Natal; 000000800; 000096; 0003; 001; 01; 000000000002; 000000400000;5;19;4166;Zona Sul  
;Ponta Negra; Natal; 000000160; 000035; 0001; 001; 01; 000000000001; 000000200000;3;11;5714;Zona Sul  
;Capim Macio; Natal; 000000578; 000109; 0003; 002; 01; 000000000002; 000000610000;6;18;5596;Zona Sul  
;Candelária; Natal; 000000950; 000140; 0003; 001; 01; 000000000002; 000000315000;5;28;2250;Zona Sul  
;Ponta Negra; Natal; 000000330; 000060; 0002; 001; 02; 000000000001; 000000295195;5;12;4919;Zona Sul  
;Tirol; Natal; 000000930; 000280; 0004; 004; 01; 000000000003; 000001200000;9;31;4285;Zona Leste
;Candelária; Natal; 000000500; 000127; 0003; 003; 04; 000000000003; 000000680000;10;12;5354;Zona Sul  
;Lagoa Nova; Natal; 000000365; 000085; 0002; 002; 02; 000000000001; 000000245000;6;14;2882;Zona Sul  
;Lagoa Nova; Natal; 000000400; 000075; 0002; 001; 02; 000000000001; 000000350000;5;15;4666;Zona Sul  
;Lagoa Nova; Natal; 000001500; 000168; 0003; 003; 05; 000000000002; 000000500000;11;15;2976;Zona Sul  
;Ponta Negra; Natal; 000000320; 000055; 0002; 001; 02; 000000000001; 000000250000;5;11;4545;Zona Sul  
;Lagoa Seca; Natal; 000000850; 000136; 0003; 001; 02; 000000000002; 000000535000;6;22;3933;Zona Leste
;Ponta Negra; Natal; 000000350; 000056; 0002; 001; 01; 000000000001; 000000199990;4;14;3571;Zona Sul  
;Barro Vermelho; Natal; 000000580; 000096; 0003; 001; 02; 000000000002; 000000400000;6;16;4166;Zona Leste
;Lagoa Nova; Natal; 000002000; 000200; 0003; 003; 04; 000000000002; 000000700000;10;20;3500;Zona Sul  
;Lagoa Nova; Natal; 000000800; 000138; 0003; 003; 01; 000000000003; 000000790000;7;19;5724;Zona Sul  
;Tirol; Natal; 000001050; 000172; 0004; 004; 01; 000000000003; 000000900000;9;19;5232;Zona Leste
;Ponta Negra; Natal; 000000300; 000067; 0003; 001; 02; 000000000002; 000000356000;6;11;5313;Zona Sul  
;Ponta Negra; Natal; 000000260; 000038; 0001; 001; 02; 000000000001; 000000270000;4;9;7105;Zona Sul  
;Ponta Negra; Natal; 000001400; 000060; 0002; 001; 01; 000000000001; 000000179000;4;15;2983;Zona Sul  
;Capim Macio; Natal; 000000500; 000091; 0003; 001; 02; 000000000002; 000000490000;6;15;5384;Zona Sul  
;Ponta Negra; Natal; 000000540; 000058; 0002; 001; 02; 000000000001; 000000285000;5;11;4913;Zona Sul  
;Areia Preta; Natal; 000001700; 000244; 0004; 004; 04; 000000000002; 000000700000;12;20;2868;Zona Leste
;Tirol; Natal; 000000515; 000080; 0003; 001; 03; 000000000002; 000000550000;7;11;6875;Zona Leste
;Tirol; Natal; 000000800; 000148; 0003; 002; 03; 000000000002; 000000600000;8;18;4054;Zona Leste
;Ponta Negra; Natal; 000000640; 000061; 0002; 001; 02; 000000000001; 000000240000;5;12;3934;Zona Sul  
;Lagoa Nova; Natal; 000000520; 000040; 0001; 001; 01; 000000000001; 000000150000;3;13;3750;Zona Sul  
;Candelária; Natal; 000001200; 000313; 0004; 004; 05; 000000000004; 000001200000;13;24;3833;Zona Sul  
;Tirol; Natal; 000001200; 000260; 0004; 002; 03; 000000000002; 000000650000;9;28;2500;Zona Leste
;Planalto; Natal; 000000220; 000052; 0002; 001; 01; 000000000001; 000000120000;4;13;2307;Zona Sul  
;Lagoa Nova; Natal; 000001700; 000180; 0003; 003; 04; 000000000002; 000000500000;10;18;2777;Zona Sul  
;Areia Preta; Natal; 000001700; 000192; 0003; 003; 03; 000000000003; 000000750000;9;21;3906;Zona Leste
;Ponta Negra; Natal; 000000685; 000055; 0002; 001; 02; 000000000001; 000000350000;5;11;6363;Zona Sul  
;Ponta Negra; Natal; 000000410; 000064; 0002; 001; 02; 000000000001; 000000290000;5;12;4531;Zona Sul  
;Tirol; Natal; 000000930; 000124; 0003; 003; 05; 000000000002; 000000580000;11;11;4677;Zona Leste
;Tirol; Natal; 000000400; 000095; 0003; 001; 01; 000000000002; 000000450000;5;19;4736;Zona Leste
;Areia Preta; Natal; 000001500; 000277; 0004; 004; 06; 000000000003; 000001200000;14;19;4332;Zona Leste
;Tirol; Natal; 000000900; 000207; 0004; 004; 01; 000000000002; 000001050000;9;23;5072;Zona Leste
;Lagoa Nova; Natal; 000000377; 000088; 0003; 001; 01; 000000000002; 000000550000;5;17;6250;Zona Sul  
;Candelária; Natal; 000001360; 000622; 0004; 002; 04; 000000000004; 000002900000;10;62;4662;Zona Sul  
;Lagoa Nova; Natal; 000000400; 000085; 0003; 001; 02; 000000000002; 000000235000;6;14;2764;Zona Sul  
Largo Capim Macio;Capim Macio; Natal; 000000300; 000062; 0003; 001; 02; 000000000001; 000000250000;6;10;4032;Zona Sul  
Avenida Miguel Castro, 844;Lagoa Nova; Natal; 000000750; 000119; 0003; 001; 03; 000000000002; 000000650000;7;17;5462;Zona Sul  
Rua Praia Farol da Barra, 95;Ponta Negra; Natal; 000001250; 000108; 0003; 001; 03; 000000000001; 000001500000;7;15;13888;Zona Sul  
Avenida Engenheiro Roberto Freire, 9090;Ponta Negra; Natal; 000000950; 000095; 0002; 001; 02; 000000000002; 000000850000;5;19;8947;Zona Sul  
Rua Tenente Olavo Francisco dos Santos, 100;Ponta Negra; Natal; 000000270; 000056; 0002; 001; 02; 000000000001; 000000285000;5;11;5089;Zona Sul  
Avenida Engenheiro Roberto Freire;Ponta Negra; Natal; 000000420; 000054; 0002; 002; 02; 000000000001; 000000370000;6;9;6851;Zona Sul  
Rua Leonora Armstrong, 100;Ponta Negra; Natal; 000000520; 000054; 0002; 001; 02; 000000000001; 000000279000;5;10;5166;Zona Sul  
Avenida Deputado Antônio Florêncio de Queiroz;Ponta Negra; Natal; 000000650; 000109; 0003; 001; 03; 000000000002; 000000430000;7;15;3944;Zona Sul  
Avenida Deputado Antônio Florêncio de Queiroz, 2995;Ponta Negra; Natal; 000000600; 000121; 0002; 002; 03; 000000000002; 000000690000;7;17;5702;Zona Sul  
Rua Poeta Jorge Fernandes, 2205;Ponta Negra; Natal; 000000350; 000064; 0002; 001; 02; 000000000001; 000000275000;5;12;4296;Zona Sul  
